Date,Country,Conflict,Event_Type,Fatalities,Source,Summary,Latitude,Longitude
2023-06-19,Yemen,Yemen Civil War,Airstrike,40,Al Jazeera,Airstrike reported in Yemen related to Yemen Civil War.,15.8816,48.2736
2023-06-20,Yemen,Yemen Civil War,Political Negotiation,36,Associated Press,Political Negotiation reported in Yemen related to Yemen Civil War.,16.1486,48.9388
2023-06-21,Myanmar,Myanmar Conflict,Drone Attack,8,Reuters,Drone Attack reported in Myanmar related to Myanmar Conflict.,21.8742,96.3234
2023-06-21,Myanmar,Myanmar Conflict,Drone Attack,12,The Guardian,Drone Attack reported in Myanmar related to Myanmar Conflict.,21.7044,95.919
2023-06-21,Sudan,Sudan Civil War,Cyber Operation,0,The Guardian,Cyber Operation reported in Sudan related to Sudan Civil War.,13.0226,30.13
2023-06-22,Yemen,Yemen Civil War,Missile Strike,29,Associated Press,Missile Strike reported in Yemen related to Yemen Civil War.,15.206,47.8271
2023-06-22,Yemen,Yemen Civil War,Political Negotiation,30,BBC,Political Negotiation reported in Yemen related to Yemen Civil War.,16.5022,48.9627
2023-06-23,Yemen,Yemen Civil War,Ground Combat,55,Associated Press,Ground Combat reported in Yemen related to Yemen Civil War.,16.2576,48.8756
2023-06-24,Myanmar,Myanmar Conflict,Drone Attack,41,BBC,Drone Attack reported in Myanmar related to Myanmar Conflict.,21.4163,95.8032
2023-06-24,Sudan,Sudan Civil War,Missile Strike,17,Associated Press,Missile Strike reported in Sudan related to Sudan Civil War.,13.7197,31.009
2023-06-26,Myanmar,Myanmar Conflict,Drone Attack,17,Reuters,Drone Attack reported in Myanmar related to Myanmar Conflict.,21.8443,96.5627
2023-06-27,Russia,Russia-Ukraine War,Ground Combat,41,Reuters,Ground Combat reported in Russia related to Russia-Ukraine War.,56.5529,37.2954
2023-06-28,Sudan,Sudan Civil War,Cyber Operation,6,Associated Press,Cyber Operation reported in Sudan related to Sudan Civil War.,13.4209,29.8769
2023-07-01,Sudan,Sudan Civil War,Missile Strike,52,BBC,Missile Strike reported in Sudan related to Sudan Civil War.,13.3215,29.628
2023-07-01,Myanmar,Myanmar Conflict,Drone Attack,37,Al Jazeera,Drone Attack reported in Myanmar related to Myanmar Conflict.,22.9092,95.8559
2023-07-03,Yemen,Yemen Civil War,Cyber Operation,18,BBC,Cyber Operation reported in Yemen related to Yemen Civil War.,15.3792,48.1187
2023-07-04,Sudan,Sudan Civil War,Airstrike,25,The Guardian,Airstrike reported in Sudan related to Sudan Civil War.,13.6896,31.099
2023-07-05,Yemen,Yemen Civil War,Airstrike,18,BBC,Airstrike reported in Yemen related to Yemen Civil War.,16.3687,48.3765
2023-07-05,Sudan,Sudan Civil War,Missile Strike,0,Al Jazeera,Missile Strike reported in Sudan related to Sudan Civil War.,12.6985,29.3203
2023-07-06,Sudan,Sudan Civil War,Missile Strike,41,Reuters,Missile Strike reported in Sudan related to Sudan Civil War.,12.4241,29.3208
2023-07-06,Sudan,Sudan Civil War,Political Negotiation,18,The Guardian,Political Negotiation reported in Sudan related to Sudan Civil War.,12.7891,30.7043
2023-07-07,Yemen,Yemen Civil War,Political Negotiation,25,Reuters,Political Negotiation reported in Yemen related to Yemen Civil War.,14.6517,48.9811
2023-07-08,Myanmar,Myanmar Conflict,Ground Combat,11,Reuters,Ground Combat reported in Myanmar related to Myanmar Conflict.,22.7193,95.5357
2023-07-08,Myanmar,Myanmar Conflict,Ground Combat,7,Reuters,Ground Combat reported in Myanmar related to Myanmar Conflict.,21.0042,96.0191
2023-07-11,Sudan,Sudan Civil War,Drone Attack,19,BBC,Drone Attack reported in Sudan related to Sudan Civil War.,12.4645,30.3322
2023-07-12,Myanmar,Myanmar Conflict,Political Negotiation,14,The Guardian,Political Negotiation reported in Myanmar related to Myanmar Conflict.,21.267,96.9492
2023-07-13,Sudan,Sudan Civil War,Political Negotiation,63,BBC,Political Negotiation reported in Sudan related to Sudan Civil War.,12.8955,29.628
2023-07-15,Sudan,Sudan Civil War,Missile Strike,57,Reuters,Missile Strike reported in Sudan related to Sudan Civil War.,13.3059,30.4087
2023-07-15,Myanmar,Myanmar Conflict,Ground Combat,25,BBC,Ground Combat reported in Myanmar related to Myanmar Conflict.,21.033,96.5137
2023-07-15,Sudan,Sudan Civil War,Missile Strike,45,Associated Press,Missile Strike reported in Sudan related to Sudan Civil War.,12.4128,30.8489
2023-07-16,Yemen,Yemen Civil War,Airstrike,19,Associated Press,Airstrike reported in Yemen related to Yemen Civil War.,16.3424,48.8219
2023-07-17,Myanmar,Myanmar Conflict,Airstrike,15,Al Jazeera,Airstrike reported in Myanmar related to Myanmar Conflict.,20.9197,96.4575
2023-07-18,Ukraine,Russia-Ukraine War,Missile Strike,11,BBC,Missile Strike reported in Ukraine related to Russia-Ukraine War.,48.7809,30.2273
2023-07-18,Myanmar,Myanmar Conflict,Airstrike,34,Al Jazeera,Airstrike reported in Myanmar related to Myanmar Conflict.,22.3945,95.9658
2023-07-20,Myanmar,Myanmar Conflict,Ground Combat,35,Reuters,Ground Combat reported in Myanmar related to Myanmar Conflict.,21.0196,95.241
2023-07-21,Sudan,Sudan Civil War,Political Negotiation,21,BBC,Political Negotiation reported in Sudan related to Sudan Civil War.,12.7195,29.643
2023-07-22,Sudan,Sudan Civil War,Cyber Operation,38,BBC,Cyber Operation reported in Sudan related to Sudan Civil War.,11.9378,30.0849
2023-07-24,Myanmar,Myanmar Conflict,Political Negotiation,8,Al Jazeera,Political Negotiation reported in Myanmar related to Myanmar Conflict.,21.8874,96.7798
2023-07-24,Yemen,Yemen Civil War,Ground Combat,30,The Guardian,Ground Combat reported in Yemen related to Yemen Civil War.,16.3196,49.492
2023-07-25,Yemen,Yemen Civil War,Missile Strike,44,The Guardian,Missile Strike reported in Yemen related to Yemen Civil War.,16.3268,48.2104
2023-07-27,Ukraine,Russia-Ukraine War,Ground Combat,0,Reuters,Ground Combat reported in Ukraine related to Russia-Ukraine War.,48.3298,32.0792
2023-07-28,Yemen,Yemen Civil War,Ground Combat,35,Associated Press,Ground Combat reported in Yemen related to Yemen Civil War.,16.1052,47.6981
2023-07-28,Yemen,Yemen Civil War,Political Negotiation,0,Reuters,Political Negotiation reported in Yemen related to Yemen Civil War.,15.8594,49.4983
2023-07-30,Sudan,Sudan Civil War,Missile Strike,15,The Guardian,Missile Strike reported in Sudan related to Sudan Civil War.,12.7004,31.1388
2023-07-31,Gaza,Israel-Hamas Conflict,Cyber Operation,0,Al Jazeera,Cyber Operation reported in Gaza related to Israel-Hamas Conflict.,31.5743,33.946
2023-08-01,Sudan,Sudan Civil War,Ground Combat,64,Al Jazeera,Ground Combat reported in Sudan related to Sudan Civil War.,12.7353,29.8488
2023-08-02,Yemen,Yemen Civil War,Missile Strike,7,BBC,Missile Strike reported in Yemen related to Yemen Civil War.,14.7235,48.5313
2023-08-03,Yemen,Yemen Civil War,Ground Combat,0,The Guardian,Ground Combat reported in Yemen related to Yemen Civil War.,15.3868,48.847
2023-08-04,Israel,Israel-Hamas Conflict,Airstrike,69,Associated Press,Airstrike reported in Israel related to Israel-Hamas Conflict.,31.5103,35.4816
2023-08-06,Myanmar,Myanmar Conflict,Ground Combat,17,Reuters,Ground Combat reported in Myanmar related to Myanmar Conflict.,21.2686,95.4199
2023-08-08,Sudan,Sudan Civil War,Ground Combat,0,BBC,Ground Combat reported in Sudan related to Sudan Civil War.,12.0265,29.8181
2023-08-10,Israel,Israel-Hamas Conflict,Missile Strike,39,Associated Press,Missile Strike reported in Israel related to Israel-Hamas Conflict.,31.703,34.1688
2023-08-10,Sudan,Sudan Civil War,Cyber Operation,46,Associated Press,Cyber Operation reported in Sudan related to Sudan Civil War.,12.4219,29.443
2023-08-10,Myanmar,Myanmar Conflict,Cyber Operation,29,Associated Press,Cyber Operation reported in Myanmar related to Myanmar Conflict.,22.8705,95.1368
2023-08-11,Gaza,Israel-Hamas Conflict,Cyber Operation,53,The Guardian,Cyber Operation reported in Gaza related to Israel-Hamas Conflict.,30.7713,33.8345
2023-08-12,Sudan,Sudan Civil War,Political Negotiation,44,Al Jazeera,Political Negotiation reported in Sudan related to Sudan Civil War.,13.7728,29.9469
2023-08-12,Ukraine,Russia-Ukraine War,Drone Attack,14,Associated Press,Drone Attack reported in Ukraine related to Russia-Ukraine War.,47.4627,30.2106
2023-08-13,Yemen,Yemen Civil War,Cyber Operation,39,BBC,Cyber Operation reported in Yemen related to Yemen Civil War.,15.5699,47.6439
2023-08-13,Myanmar,Myanmar Conflict,Cyber Operation,19,Al Jazeera,Cyber Operation reported in Myanmar related to Myanmar Conflict.,22.2143,95.5724
2023-08-14,Myanmar,Myanmar Conflict,Drone Attack,22,Reuters,Drone Attack reported in Myanmar related to Myanmar Conflict.,22.9028,96.0542
2023-08-14,Myanmar,Myanmar Conflict,Cyber Operation,0,Al Jazeera,Cyber Operation reported in Myanmar related to Myanmar Conflict.,21.1347,95.563
2023-08-15,Yemen,Yemen Civil War,Ground Combat,8,Associated Press,Ground Combat reported in Yemen related to Yemen Civil War.,16.381,49.0327
2023-08-16,Myanmar,Myanmar Conflict,Ground Combat,21,BBC,Ground Combat reported in Myanmar related to Myanmar Conflict.,21.0665,95.9572
2023-08-16,Yemen,Yemen Civil War,Cyber Operation,38,Al Jazeera,Cyber Operation reported in Yemen related to Yemen Civil War.,16.5027,48.8255
2023-08-17,Sudan,Sudan Civil War,Missile Strike,27,Reuters,Missile Strike reported in Sudan related to Sudan Civil War.,13.4674,30.2263
2023-08-17,Gaza,Israel-Hamas Conflict,Political Negotiation,0,Al Jazeera,Political Negotiation reported in Gaza related to Israel-Hamas Conflict.,31.2245,33.7012
2023-08-18,Myanmar,Myanmar Conflict,Missile Strike,39,Associated Press,Missile Strike reported in Myanmar related to Myanmar Conflict.,22.1758,95.7445
2023-08-19,Yemen,Yemen Civil War,Missile Strike,27,BBC,Missile Strike reported in Yemen related to Yemen Civil War.,16.4293,47.9795
2023-08-20,Myanmar,Myanmar Conflict,Ground Combat,29,Reuters,Ground Combat reported in Myanmar related to Myanmar Conflict.,22.0295,95.2223
2023-08-22,Sudan,Sudan Civil War,Airstrike,52,Al Jazeera,Airstrike reported in Sudan related to Sudan Civil War.,12.6261,30.1669
2023-08-22,Sudan,Sudan Civil War,Airstrike,7,BBC,Airstrike reported in Sudan related to Sudan Civil War.,12.5213,29.5886
2023-08-23,Sudan,Sudan Civil War,Drone Attack,37,Reuters,Drone Attack reported in Sudan related to Sudan Civil War.,12.6315,30.2525
2023-08-23,Yemen,Yemen Civil War,Missile Strike,29,Reuters,Missile Strike reported in Yemen related to Yemen Civil War.,15.3448,49.5013
2023-08-23,Sudan,Sudan Civil War,Airstrike,18,Associated Press,Airstrike reported in Sudan related to Sudan Civil War.,11.9764,29.6002
2023-08-23,Sudan,Sudan Civil War,Drone Attack,29,BBC,Drone Attack reported in Sudan related to Sudan Civil War.,12.0807,29.3741
2023-08-24,Gaza,Israel-Hamas Conflict,Airstrike,22,Associated Press,Airstrike reported in Gaza related to Israel-Hamas Conflict.,31.8192,35.1367
2023-08-24,Yemen,Yemen Civil War,Cyber Operation,0,Reuters,Cyber Operation reported in Yemen related to Yemen Civil War.,15.7907,48.5092
2023-08-27,Yemen,Yemen Civil War,Drone Attack,32,BBC,Drone Attack reported in Yemen related to Yemen Civil War.,16.1189,47.964
2023-08-27,Sudan,Sudan Civil War,Cyber Operation,43,Associated Press,Cyber Operation reported in Sudan related to Sudan Civil War.,12.1248,29.2461
2023-08-30,Myanmar,Myanmar Conflict,Drone Attack,17,BBC,Drone Attack reported in Myanmar related to Myanmar Conflict.,22.804,95.2098
2023-08-30,Ukraine,Russia-Ukraine War,Political Negotiation,0,Reuters,Political Negotiation reported in Ukraine related to Russia-Ukraine War.,47.7703,30.4675
2023-08-31,Russia,Russia-Ukraine War,Ground Combat,44,Associated Press,Ground Combat reported in Russia related to Russia-Ukraine War.,54.7637,38.2156
2023-08-31,Yemen,Yemen Civil War,Missile Strike,19,Associated Press,Missile Strike reported in Yemen related to Yemen Civil War.,14.6037,49.2651
2023-08-31,Israel,Israel-Hamas Conflict,Missile Strike,52,The Guardian,Missile Strike reported in Israel related to Israel-Hamas Conflict.,30.0533,34.5799
2023-08-31,West Bank,Israel-Hamas Conflict,Missile Strike,2,Reuters,Missile Strike reported in West Bank related to Israel-Hamas Conflict.,32.6409,35.2163
2023-09-02,Sudan,Sudan Civil War,Ground Combat,34,Reuters,Ground Combat reported in Sudan related to Sudan Civil War.,12.7049,31.1945
2023-09-02,Yemen,Yemen Civil War,Airstrike,22,Al Jazeera,Airstrike reported in Yemen related to Yemen Civil War.,15.578,47.8719
2023-09-03,West Bank,Israel-Hamas Conflict,Ground Combat,54,Al Jazeera,Ground Combat reported in West Bank related to Israel-Hamas Conflict.,31.5496,35.709
2023-09-03,Yemen,Yemen Civil War,Drone Attack,26,The Guardian,Drone Attack reported in Yemen related to Yemen Civil War.,14.5891,49.0497
2023-09-03,Yemen,Yemen Civil War,Ground Combat,21,The Guardian,Ground Combat reported in Yemen related to Yemen Civil War.,15.3534,47.6506
2023-09-05,Sudan,Sudan Civil War,Cyber Operation,21,Reuters,Cyber Operation reported in Sudan related to Sudan Civil War.,13.1354,29.9372
2023-09-05,Yemen,Yemen Civil War,Ground Combat,37,The Guardian,Ground Combat reported in Yemen related to Yemen Civil War.,15.3824,48.0799
2023-09-06,Yemen,Yemen Civil War,Political Negotiation,36,Al Jazeera,Political Negotiation reported in Yemen related to Yemen Civil War.,16.4776,48.7693
2023-09-06,Ukraine,Russia-Ukraine War,Airstrike,35,Associated Press,Airstrike reported in Ukraine related to Russia-Ukraine War.,48.2284,31.8193
2023-09-08,Yemen,Yemen Civil War,Cyber Operation,18,BBC,Cyber Operation reported in Yemen related to Yemen Civil War.,14.8419,47.5702
2023-09-08,West Bank,Israel-Hamas Conflict,Drone Attack,23,BBC,Drone Attack reported in West Bank related to Israel-Hamas Conflict.,31.943,35.3818
2023-09-09,Myanmar,Myanmar Conflict,Ground Combat,24,Reuters,Ground Combat reported in Myanmar related to Myanmar Conflict.,21.3429,95.7872
2023-09-09,West Bank,Israel-Hamas Conflict,Missile Strike,67,The Guardian,Missile Strike reported in West Bank related to Israel-Hamas Conflict.,32.5697,36.237
2023-09-10,Russia,Russia-Ukraine War,Drone Attack,15,Al Jazeera,Drone Attack reported in Russia related to Russia-Ukraine War.,55.2754,38.0186
2023-09-11,Israel,Israel-Hamas Conflict,Missile Strike,16,Al Jazeera,Missile Strike reported in Israel related to Israel-Hamas Conflict.,30.3697,34.1952
2023-09-12,Sudan,Sudan Civil War,Political Negotiation,38,Reuters,Political Negotiation reported in Sudan related to Sudan Civil War.,12.1093,31.0001
2023-09-13,Gaza,Israel-Hamas Conflict,Missile Strike,45,Al Jazeera,Missile Strike reported in Gaza related to Israel-Hamas Conflict.,31.2022,33.3506
2023-09-13,Israel,Israel-Hamas Conflict,Political Negotiation,62,Reuters,Political Negotiation reported in Israel related to Israel-Hamas Conflict.,31.0267,35.8338
2023-09-13,Russia,Russia-Ukraine War,Ground Combat,10,Al Jazeera,Ground Combat reported in Russia related to Russia-Ukraine War.,56.1822,36.8724
2023-09-13,Myanmar,Myanmar Conflict,Cyber Operation,12,The Guardian,Cyber Operation reported in Myanmar related to Myanmar Conflict.,21.9527,96.2782
2023-09-14,Yemen,Yemen Civil War,Drone Attack,0,Al Jazeera,Drone Attack reported in Yemen related to Yemen Civil War.,14.5593,49.1118
2023-09-15,Gaza,Israel-Hamas Conflict,Cyber Operation,35,Al Jazeera,Cyber Operation reported in Gaza related to Israel-Hamas Conflict.,32.2691,34.3391
2023-09-15,Gaza,Israel-Hamas Conflict,Ground Combat,27,Al Jazeera,Ground Combat reported in Gaza related to Israel-Hamas Conflict.,31.8864,33.6967
2023-09-15,Gaza,Israel-Hamas Conflict,Airstrike,75,Al Jazeera,Airstrike reported in Gaza related to Israel-Hamas Conflict.,31.0373,34.8658
2023-09-15,Gaza,Israel-Hamas Conflict,Ground Combat,0,Reuters,Ground Combat reported in Gaza related to Israel-Hamas Conflict.,32.3058,34.2743
2023-09-16,Yemen,Yemen Civil War,Missile Strike,0,Al Jazeera,Missile Strike reported in Yemen related to Yemen Civil War.,14.6264,47.8806
2023-09-16,Israel,Israel-Hamas Conflict,Ground Combat,6,Al Jazeera,Ground Combat reported in Israel related to Israel-Hamas Conflict.,30.1469,34.2551
2023-09-16,Ukraine,Russia-Ukraine War,Political Negotiation,25,BBC,Political Negotiation reported in Ukraine related to Russia-Ukraine War.,48.2811,30.2929
2023-09-17,Gaza,Israel-Hamas Conflict,Cyber Operation,49,BBC,Cyber Operation reported in Gaza related to Israel-Hamas Conflict.,31.4487,33.3674
2023-09-18,Israel,Israel-Hamas Conflict,Airstrike,51,Reuters,Airstrike reported in Israel related to Israel-Hamas Conflict.,30.3123,34.573
2023-09-23,Israel,Israel-Hamas Conflict,Cyber Operation,63,Reuters,Cyber Operation reported in Israel related to Israel-Hamas Conflict.,30.3296,34.8997
2023-09-23,Sudan,Sudan Civil War,Cyber Operation,27,Reuters,Cyber Operation reported in Sudan related to Sudan Civil War.,12.3871,30.6509
2023-09-25,Sudan,Sudan Civil War,Airstrike,35,BBC,Airstrike reported in Sudan related to Sudan Civil War.,13.8062,29.4272
2023-09-25,Gaza,Israel-Hamas Conflict,Drone Attack,11,Al Jazeera,Drone Attack reported in Gaza related to Israel-Hamas Conflict.,31.2483,34.1855
2023-09-26,West Bank,Israel-Hamas Conflict,Missile Strike,48,The Guardian,Missile Strike reported in West Bank related to Israel-Hamas Conflict.,31.9629,35.9174
2023-09-27,Gaza,Israel-Hamas Conflict,Missile Strike,15,Reuters,Missile Strike reported in Gaza related to Israel-Hamas Conflict.,32.3437,33.3827
2023-09-29,Myanmar,Myanmar Conflict,Ground Combat,0,The Guardian,Ground Combat reported in Myanmar related to Myanmar Conflict.,21.7938,96.5029
